No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
109,7.492116,192.168.0.2,192.168.0.1,COTP,61,0.000067,56667,102,2626,7950,128,"Jan 22, 2024 16:20:49.408472000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
110,7.519394,192.168.1.241,192.168.1.1,COTP,61,1.01204,62991,102,357,723,128,"Jan 22, 2024 16:20:49.435750000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
111,7.802834,192.168.0.2,192.168.0.1,COTP,145,0.310718,56667,102,2633,7950,128,"Jan 22, 2024 16:20:49.719190000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
112,7.803297,192.168.0.2,192.168.0.1,COTP,61,0.000463,56667,102,2724,8004,128,"Jan 22, 2024 16:20:49.719653000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
113,7.803512,192.168.0.2,192.168.0.1,COTP,61,0.000215,56667,102,2731,8266,128,"Jan 22, 2024 16:20:49.719868000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
114,8.097608,192.168.1.241,192.168.1.1,COTP,61,0.578214,62991,102,364,772,128,"Jan 22, 2024 16:20:50.013964000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
115,8.115032,192.168.0.2,192.168.0.1,COTP,145,0.31152,56667,102,2738,8266,128,"Jan 22, 2024 16:20:50.031388000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
116,8.115495,192.168.0.2,192.168.0.1,COTP,61,0.000463,56667,102,2829,8320,128,"Jan 22, 2024 16:20:50.031851000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
117,8.115706,192.168.0.2,192.168.0.1,COTP,61,0.000211,56667,102,2836,8582,128,"Jan 22, 2024 16:20:50.032062000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
118,8.249202,192.168.0.2,224.0.0.22,IGMPv3,54,,,,,,1,"Jan 22, 2024 16:20:50.165558000 China Standard Time",,,,,,Membership Report / Leave group 224.0.0.252,Normal
119,8.26072,192.168.0.2,224.0.0.22,IGMPv3,54,,,,,,1,"Jan 22, 2024 16:20:50.177076000 China Standard Time",,,,,,Membership Report / Join group 224.0.0.252 for any sources,Normal
120,8.261575,192.168.0.2,224.0.0.251,MDNS,81,,,,,,1,"Jan 22, 2024 16:20:50.177931000 China Standard Time",,,,,,"Standard query 0x0000 ANY DESKTOP-5756DN0.local, ""QM"" question",Normal
121,8.262383,192.168.0.2,224.0.0.251,MDNS,107,,,,,,1,"Jan 22, 2024 16:20:50.178739000 China Standard Time",,,,,,Standard query response 0x0000 A 192.168.0.2 A 192.168.1.241,Normal
122,8.262693,192.168.0.2,224.0.0.251,MDNS,81,,,,,,1,"Jan 22, 2024 16:20:50.179049000 China Standard Time",,,,,,"Standard query 0x0000 ANY DESKTOP-5756DN0.local, ""QM"" question",Normal
123,8.263399,192.168.0.2,224.0.0.252,LLMNR,75,,,,,,1,"Jan 22, 2024 16:20:50.179755000 China Standard Time",,,,,,Standard query 0xeafd ANY DESKTOP-5756DN0,Normal
